date,granule_id,title,type,text
election.
  I mean, how is that going to happen? We have elections beginning in a 
matter of a few weeks, and you are expecting every State to be able to 
comply with all these new rules and regulations, like, immediately?
  This is about sowing chaos and confusion. My friends on the other 
side know they are probably going to lose the next election, and they 
are going to lose big. Rather than live up to the reality or respect 
the voters, they are going to try to make up some conspiracy theory 
that the election was stolen or undocumented migrants came in and voted 
against them.
  Here is the hard truth: If Republicans want to know why people are 
losing faith in our elections, they ought to look in the mirror. They 
ought to look in the mirror.

                              {time}  1120

  People are losing faith because Donald Trump, the election denier in 
chief, can't admit he lost. People are losing faith because Tulsi 
Gabbard and Kash Patel's FBI raided an election office in Fulton 
County, Georgia, based on recycled conspiracy theories. They seized 
2020 election results, even though it was Donald Trump who asked the 
Georgia Secretary of State to find 11,780 ballots so that he can win, 
even though he lost, and that is on tape.
  They are losing faith in our elections because they saw Pam Bondi 
trying to shake down Minnesota's State government, saying the 
administration would only withdraw ICE if Minnesota handed over their 
voter rolls to Trump's DOJ. They are losing faith because of bills like 
this, which force every State in America to give their voter rolls over 
to DHS Secretary Kristi Noem.
  Let that sink in. She is probably one of the least trustworthy people 
in the country right now. I wouldn't trust Kristi Noem to tell me the 
correct time, and we are asking States to turn over their voting rolls 
to her. Give me a break.
  We don't need any more lectures from Republicans about the sanctity 
of democracy or why people are losing faith in our democratic 
institutions. We know why, and we know what this bill is. This is Jim 
Crow 2.0. Republicans think that when fewer Americans vote, they win. 
It is as simple as that.
  I am so sick of the other side just making things up. This widespread 
voter fraud conspiracy is all part of the same election denialism that 
goes right up to the Oval Office.
  The other side has been making these claims for years now. We have 
heard about this for over a decade. They claim that massive numbers of 
noncitizens are voting, swaying elections, and that rampant voter fraud 
is changing results.
  Every single one of those claims, Mr. Speaker, has been investigated 
again and again by Republican Governors and Republican Secretaries of 
State, by journalists, by academic researchers, and by President Trump 
himself, whose own voter fraud commission was disbanded because he 
couldn't find enough evidence to warrant the absurd allegations that he 
was making.
  Every time these claims are investigated, they disappear like a 
mirage. This entire bill is fundamentally predicated on a lie. In fact, 
when you crunch the numbers, you are more likely to be struck by 
lightning than to successfully impersonate someone at the polls. Enough 
already.
  The SAVE America Act is a terrible bill that makes it harder for 
American citizens to participate in our democracy. That is it.
  America does not want to be saved by a Republican Party that spent a 
year propping up Trump's tariffs, which have driven costs through the 
roof. We don't want to be saved by the people who continue covering up 
